,Company,Link,Product,Pack Size,Periodicity,Type,OTC,PAYG,Subscription,Date of update
0,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/dailies-total-1-C54.html,Dailies total 1,30,Dailies,Spheric,,43.9,35.12,2025-03-29
1,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/dailies-total-1-C54.html,Dailies total 1,90,Dailies,Spheric,,124.9,99.92000000000002,2025-03-29
2,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/jatkuvakayttoiset-piilolinssit/biofinity-C31.html,Biofinity,6,Monthlies,Spheric,,52.9,42.32,2025-03-29
3,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/acuvue-oasys-1-day-with-hydraluxe-C648.html,Acuvue oasys 1-day with hydraluxe,30,Dailies,Spheric,,40.9,32.72,2025-03-29
4,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/acuvue-oasys-1-day-with-hydraluxe-C648.html,Acuvue oasys 1-day with hydraluxe,90,Dailies,Spheric,,114.9,91.92000000000002,2025-03-29
5,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/varilliset-piilolinssit/air-optix-colors-C474.html,Air optix colors,2,Dailies,Spheric,,39.9,31.92,2025-03-29
6,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/dailies-total-1-multifocal-C900.html,Dailies total 1 multifocal,30,Dailies,Multifocal,,62.9,50.32,2025-03-29
7,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/dailies-total-1-multifocal-C900.html,Dailies total 1 multifocal,90,Dailies,Multifocal,,181.9,145.52,2025-03-29
8,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/jatkuvakayttoiset-piilolinssit/total-30-C1037.html,Total 30,6,Monthlies,Spheric,,62.9,50.32,2025-03-29
9,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/jatkuvakayttoiset-piilolinssit/air-optix-plus-hydraglyde-C581.html,Air optix plus hydraglyde,6,Monthlies,Spheric,,49.9,39.92,2025-03-29
10,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/jatkuvakayttoiset-piilolinssit/total-30-multifocal-C1090.html,Total 30 multifocal,6,Monthlies,Multifocal,,99.9,79.92000000000002,2025-03-29
11,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/jatkuvakayttoiset-piilolinssit/acuvue-oasys-C14.html,Acuvue oasys,6,Monthlies,Spheric,,35.9,28.72,2025-03-29
12,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/varilliset-piilolinssit/freshlook-1-day-C88.html,Freshlook 1 day,10,Dailies,Spheric,,22.9,18.32,2025-03-29
13,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/dailies-aqua-comfort-plus-C37.html,Dailies aqua comfort plus,30,Dailies,Spheric,,33.9,27.12,2025-03-29
14,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/dailies-aqua-comfort-plus-C37.html,Dailies aqua comfort plus,90,Dailies,Spheric,,96.9,77.52000000000001,2025-03-29
15,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/jatkuvakayttoiset-piilolinssit/biofinity-toric-C35.html,Biofinity toric,6,Monthlies,Spheric,,66.9,53.52000000000001,2025-03-29
16,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/dailies-total-1-for-astigmatism-C1013.html,Dailies total 1 for astigmatism,30,Dailies,Astigmatism,,55.9,44.72,2025-03-29
17,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/dailies-total-1-for-astigmatism-C1013.html,Dailies total 1 for astigmatism,90,Dailies,Astigmatism,,161.9,129.52,2025-03-29
18,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/jatkuvakayttoiset-piilolinssit/biofinity-multifocal-C148.html,Biofinity multifocal,6,Monthlies,Multifocal,,93.9,75.12,2025-03-29
19,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/1-day-acuvue-moist-C2.html,1-day acuvue moist,30,Dailies,Spheric,,30.9,24.72,2025-03-29
20,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/1-day-acuvue-moist-C2.html,1-day acuvue moist,90,Dailies,Spheric,,90.9,72.72000000000001,2025-03-29
21,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/biomedics-1-day-extra-30-kpl-C58.html,Biomedics 1-day extra 30 kpl,30,Dailies,Spheric,,25.9,20.72,2025-03-29
22,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/biomedics-1-day-extra-30-kpl-C58.html,Biomedics 1-day extra 30 kpl,90,Dailies,Spheric,,60.9,48.72,2025-03-29
23,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/acuvue-oasys-1-day-with-hydraluxe-for-astigmatism-C976.html,Acuvue oasys 1-day with hydraluxe for astigmatism,30,Dailies,Astigmatism,,50.9,40.72,2025-03-29
24,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/jatkuvakayttoiset-piilolinssit/biofinity-xr-C469.html,Biofinity xr,3,Monthlies,Spheric,,36.9,29.52,2025-03-29
25,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/jatkuvakayttoiset-piilolinssit/air-optix-plus-hydraglyde-multifocal-C999.html,Air optix plus hydraglyde multifocal,6,Monthlies,Multifocal,,94.9,75.92,2025-03-29
26,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/precision-1-C1033.html,Precision 1,30,Dailies,Spheric,,35.9,28.72,2025-03-29
27,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/precision-1-C1033.html,Precision 1,90,Dailies,Spheric,,99.9,79.92000000000002,2025-03-29
28,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/jatkuvakayttoiset-piilolinssit/acuvue-oasys-for-astigmatism-C15.html,Acuvue oasys for astigmatism,6,Monthlies,Astigmatism,,50.9,40.72,2025-03-29
29,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/jatkuvakayttoiset-piilolinssit/air-optix-plus-hydraglyde-astigmatism-C1002.html,Air optix plus hydraglyde for astigmatism,6,Monthlies,Astigmatism,,74.9,59.92000000000001,2025-03-29
30,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/jatkuvakayttoiset-piilolinssit/total-30-for-astigmatism-C1089.html,Total 30 for astigmatism,6,Monthlies,Astigmatism,,79.9,63.92000000000001,2025-03-29
31,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/dailies-aqua-comfort-plus-multifocal-C169.html,Dailies aqua comfort plus multifocal,30,Dailies,Multifocal,,54.9,43.92,2025-03-29
32,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/precision-1-for-astigmatism-C1035.html,Precision 1 for astigmatism,30,Dailies,Astigmatism,,46.9,37.52,2025-03-29
33,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/precision-1-for-astigmatism-C1035.html,Precision 1 for astigmatism,90,Dailies,Astigmatism,,139.9,111.92000000000002,2025-03-29
34,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/jatkuvakayttoiset-piilolinssit/acuvue-oasys-multifocal-C1042.html,Acuvue oasys multifocal,6,Monthlies,Multifocal,,60.9,48.72,2025-03-29
35,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/jatkuvakayttoiset-piilolinssit/biofinity-energys-C902.html,Biofinity energys,6,Monthlies,Spheric,,56.9,45.52,2025-03-29
36,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/proclear-1-day-C52.html,Proclear 1 day,30,Dailies,Spheric,,27.9,22.32,2025-03-29
37,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/proclear-1-day-C52.html,Proclear 1 day,90,Dailies,Spheric,,79.9,63.92000000000001,2025-03-29
38,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/jatkuvakayttoiset-piilolinssit/biofinity-toric-xr-C984.html,Biofinity toric xr,3,Monthlies,Spheric,,86.9,69.52000000000001,2025-03-29
39,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/1-day-acuvue-moist-multifocal-C979.html,1-day acuvue moist multifocal,30,Dailies,Multifocal,,50.9,40.72,2025-03-29
40,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/1-day-acuvue-moist-multifocal-C979.html,1-day acuvue moist multifocal,90,Dailies,Multifocal,,130.9,104.72000000000001,2025-03-29
41,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/dailies-all-day-comfort-C120.html,Dailies all day comfort,30,Dailies,Spheric,,32.9,26.32,2025-03-29
42,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/dailies-all-day-comfort-C120.html,Dailies all day comfort,90,Dailies,Spheric,,89.9,71.92,2025-03-29
43,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/1-day-acuvue-moist-for-astigmatism-C10.html,1-day acuvue moist for astigmatism,30,Dailies,Astigmatism,,40.9,32.72,2025-03-29
44,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/dailies-aqua-comfort-plus-toric-C167.html,Dailies aqua comfort plus toric,30,Dailies,Spheric,,43.9,35.12,2025-03-29
45,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/clariti-1-day-C556.html,Clariti 1 day,30,Dailies,Spheric,,33.9,27.12,2025-03-29
46,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/clariti-1-day-C556.html,Clariti 1 day,90,Dailies,Spheric,,88.9,71.12,2025-03-29
47,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/jatkuvakayttoiset-piilolinssit/proclear-multifocal-C42.html,Proclear multifocal,6,Monthlies,Multifocal,,84.9,67.92,2025-03-29
48,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/jatkuvakayttoiset-piilolinssit/avaira-vitality-C898.html,Avaira vitality,6,Monthlies,Spheric,,38.9,31.12,2025-03-29
49,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/myday-C554.html,Myday,30,Dailies,Spheric,,40.9,32.72,2025-03-29
50,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/myday-C554.html,Myday,90,Dailies,Spheric,,106.9,85.52000000000001,2025-03-29
51,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/myday-toric-C916.html,Myday toric,30,Dailies,Spheric,,52.9,42.32,2025-03-29
52,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/jatkuvakayttoiset-piilolinssit/avaira-vitality-toric-C993.html,Avaira vitality toric,6,Monthlies,Spheric,,47.9,38.32,2025-03-29
53,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/proclear-1-day-multifocal-C108.html,Proclear 1 day multifocal,30,Dailies,Multifocal,,44.9,35.92,2025-03-29
54,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/clariti-1-day-multifocal-C558.html,Clariti 1 day multifocal,30,Dailies,Multifocal,,56.9,45.52,2025-03-29
55,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/clariti-1-day-toric-C561.html,Clariti 1 day toric,30,Dailies,Spheric,,46.9,37.52,2025-03-29
